[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Craven Community College,35,12,29,10,5,15,2,8,-,1,3,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Crowder College,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cuesta College,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cuyamaca College,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cypress College,1,-,1,2,1,1,1,41,11,15,23,3,10,7,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",D'Mart Institute,-,-,32,33,33,24,25,25,32,32,32,26,34,49,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Dakota State University,1,1,2,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Daniel Webster College,-,-,-,-,-,-,-,-,-,-,-,-,-,6,14,3,1,6,9,5,2
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Danville Community College,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Darton State College,-,-,-,4,-,7,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Davenport University-Kalamazoo Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Davenport University-South Bend Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15,5,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Davidson County Community College,50,35,113,21,29,21,53,24,21,45,16,25,14,19,24,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Davis Technical College,32,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Daymar College-Clarksville,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Daytona State College,36,62,87,88,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Delaware Area Career Center,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Delaware County Community College,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Delta College,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Des Moines Area Community College,61,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",DeSales University,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Desert Career College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,31,27,-,3,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Diablo Valley College,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Dixie Technical College,-,75,75,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Dorsey Business Schools-Madison Heights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Dover Business College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Durham Technical Community College,4,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",East Los Angeles College,13,10,3,2,4,2,1,3,6,1,2,1,1,9,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",East-West University,-,-,1,-,2,1,-,2,8,5,7,33,4,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Eastern Arizona College,2,1,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Eastern Florida State College,25,21,65,16,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Eastern New Mexico University-Roswell Campus,-,-,-,1,5,15,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Eastwick College-Hackensack,-,-,-,-,-,-,-,-,-,-,-,41,43,37,40,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Eastwick College-Nutley,-,-,-,-,-,-,-,-,3,44,21,17,10,9,11,29,14,4,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Edgecombe Community College,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Edison State Community College,-,-,-,-,-,-,-,-,1,-,-,1,-,2,1,-,1,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",El Camino College-Compton Center,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",El Camino Community College District,1,1,-,-,-,-,1,-,1,2,3,4,3,10,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",El Paso Community College,21,14,24,36,60,42,25,26,39,13,8,10,10,11,11,23,4,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Elizabethtown Community and Technical College,229,111,64,86,11,33,35,55,43,82,14,19,25,21,56,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Elizabethtown Technical College,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Enterprise State Community College,-,-,-,-,-,4,15,17,2,1,-,2,5,4,11,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Escuelas Leicester,-,-,-,-,-,-,-,-,-,-,-,77,111,159,82,110,97,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Everest College-Aurora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Everest College-Newport News,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Everest College-Skokie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Everest Institute-Dearborn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Everest Institute-Decatur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Evergreen Valley College,-,-,-,-,-,-,-,3,-,5,1,5,3,11,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fayetteville Technical Community College,182,89,85,93,53,16,15,9,31,-,-,12,30,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Ferris State University,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",First Institute Inc,-,-,-,-,-,-,-,-,-,-,-,-,10,67,70,64,33,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fitchburg State University,-,-,-,1,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Florida National College-South Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Florida Panhandle Technical College,4,7,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Florida SouthWestern State College,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Florida State College at Jacksonville,127,125,87,93,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Focus Hope,-,-,-,-,-,-,-,-,-,8,11,14,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Focus-Hope Information Technologies Center,-,-,-,-,-,31,34,37,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Folsom Lake College,-,-,1,-,-,1,-,2,1,-,2,1,2,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Forsyth Technical Community College,1,7,3,8,3,8,3,4,1,1,8,5,13,28,23,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fortis College-Centerville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fortis College-Tampa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fortis Institute-Erie,-,-,-,-,-,-,7,4,5,7,12,15,9,7,20,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fortis Institute-Forty Fort,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Framingham State University,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Frederick Community College,3,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Fresno City College,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Front Range Community College,36,53,244,127,144,89,67,16,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Frontier Community College,-,12,12,12,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gadsden Business College,-,-,-,-,-,-,-,-,-,-,-,-,16,16,8,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gadsden State Community College,-,-,-,-,-,-,-,-,-,-,-,2,12,7,13,11,-,-,-,1,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gadsden State Community College-Ayers Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,16,12,3,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gaston College,4,-,-,-,-,-,-,-,-,2,-,2,5,5,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gateway Community and Technical College,514,114,27,12,8,57,42,16,35,17,13,6,45,25,21,3,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",GateWay Community College,8,13,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gavilan College,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Genesee Valley BOCES-Practical Nursing Program,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",George C Wallace State Community College-Hanceville,11,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Germanna Community College,14,27,7,5,5,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gibbs College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,68,72,50,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Glendale Career College,-,-,-,-,-,-,-,-,2,11,12,30,18,22,30,54,42,130,89,71,65
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Glendale Community College,9,6,4,4,4,2,-,1,-,-,2,3,1,1,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Globelle Technical Institute,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Goldey-Beacom College,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Granite State College,-,-,-,-,-,-,-,-,-,-,7,3,5,10,19,35,24,28,7,20,21
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Guilford College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Guilford Technical Community College,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gwinnett College-Lilburn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gwinnett College-Marietta Campus,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Gwinnett Technical College,17,15,12,30,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",H Councill Trenholm State Community College,-,2,-,2,2,2,-,2,-,2,3,3,8,17,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",H Councill Trenholm State Technical College-Patterson Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,12,8,8,2,-,5
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Halifax Community College,8,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrisburg Area Community College,-,-,-,-,-,-,-,-,-,-,1,1,2,1,-,1,1,1,2,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrison Career Institute-Allentown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrison Career Institute-Jersey City,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,4,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrison Career Institute-Vineland,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,31,75,61,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrison Career Institute-Wilmington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,15,16,14,6,2
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Harrison College-Indianapolis,-,6,2,2,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hawaii Business College,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,5,6,6,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Haywood Community College,1,1,3,2,4,8,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hazard Community and Technical College,73,79,101,49,25,30,34,22,54,6,31,44,31,22,11,37,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Henderson Community College,46,16,20,35,48,7,22,10,10,12,9,14,3,1,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Herzing University-Birmingham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,33,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hi-Tech School of Miami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,617,706,765,498,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hickey College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,5,7
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",High Plains Technology Center,-,-,-,-,-,-,-,9,5,9,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hill College,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hillsborough Community College,13,17,25,34,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Hopkinsville Community College,11,32,197,133,87,33,31,16,3,14,6,32,11,19,20,50,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Houston Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,34,19,18,10,2,-
